"uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","FeatureID","FeatureType","ShelterAuthor","ShelterTimestamp","FeatureSource","NumberOfIterationsSubtype","FeatureDescription","Latitude","Longitude","Northing","Easting","Accuracy","LanduseOnTop","LanduseAround","OverviewPhoto","LocaleDescription","EntrywayType","AccessiblityOfShelterDuringVisit","EntrywayFacesDirection","CommentsOnEntrywayAndAccess","EntrywayPhoto","EmergencyExitShape","EmergencyExitLocation","NotesOnEmergencyExit","EmergencyExitPhoto","DistanceFromSwanNeckToEmergencyExitM","InteriorDescription","InteriorPhoto","CommentsAndRecommendations","geospatialcolumn"
"1000021682767059876","200-{Shelter_Type_II}","Adela Sobotkova","2023-04-29 11:18:23.259 GMT","Adela Sobotkova","2023-04-29 11:37:50 GMT","200","Shelter Type II","Adela Sobotkova","2023-04-29 13:17:39+02:00","Map","2 (at least two as two exits\chimmbeys located)","t-shaped cluster of scrub-overgrown type 2? shelters with vine covered exits. intersection is elevated as if mounded or round shelter below?? puzzling type","56.14344081666667","10.207442433333334","6222700.867633407","575024.2870411633","1.5","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/200_Shelter_Type_II__1.jpg''}}","Strandparken 35 above the coastal road","Access buried or indeterminate","NA","NOT AVAILABLE","entry not locatable","","Square","Side","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/200_Shelter_Type_II__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/200_Shelter_Type_II__2.jpg''}}","0.2","na","","consult with thorbjorn","POINT(575024.287041 6222700.867633)"
"1000021682768373348","201-{Other}","Adela Sobotkova","2023-04-29 11:40:09.329 GMT","Adela Sobotkova","2023-04-29 11:40:34 GMT","201","Other,emergency exit","Adela Sobotkova","2023-04-29 13:39:33+02:00","Map","3","","56.14364712630468","10.207552548068271","6222723.947697626","575030.7267103236","3.0","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/201_Other__1.jpg''}}","","NA","NA","NOT AVAILABLE","","","Square","NA","","","","","","","POINT(575030.72671 6222723.947698)"
"1000021682768548507","202-{Other}","Adela Sobotkova","2023-04-29 11:42:28.507 GMT","Adela Sobotkova","2023-04-29 11:42:43 GMT","202","Other,emergency exit","Adela Sobotkova","2023-04-29 13:42:28+02:00","Map","3","just an emergency exit in the yard of strandparken leading from a large underground parking garage","56.14374704313749","10.207556042657778","6222735.0712964265","575030.7491835443","3.0","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/202_Other__1.jpg''}}","","NA","NA","NOT AVAILABLE","","","Square","NA","","","","","","","POINT(575030.749184 6222735.071296)"
"1000021682768679366","203-{Other}","Adela Sobotkova","2023-04-29 11:44:39.366 GMT","Adela Sobotkova","2023-04-29 11:45:43 GMT","203","Other,emergency exit","Adela Sobotkova","2023-04-29 13:44:39+02:00","Map","3","just an emergency exit in the yard of strandparken leading from a large underground parking garage","56.143845954130704","10.207612682714016","6222746.1407566285","575034.0755819952","4.0","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/203_Other__1.jpg''}}","","NA","NA","NOT AVAILABLE","","","Square","NA","exit hole is filled in with glass tiles for 201-203 exits in strandparken","","","","","","POINT(575034.075582 6222746.140757)"
"1000021682768821236","204-{Other}","Adela Sobotkova","2023-04-29 11:47:01.237 GMT","Adela Sobotkova","2023-04-29 11:47:09 GMT","204","Other,emergency exit","Adela Sobotkova","2023-04-29 13:47:01+02:00","Map","3","just an emergency exit in the yard of strandparken leading from a large underground parking garage","56.14397180015376","10.207398993260336","6222759.913833255","575020.5537672482","3.0","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/204_Other__1.jpg''}}","","NA","NA","NOT AVAILABLE","","","Square","NA","exit hole is filled in with glass tiles for 201-203 exits in strandparken, 204 is covered by a metal sheet","","","na","","","POINT(575020.553767 6222759.913833)"
"1000021682768903677","205-{Other}","Adela Sobotkova","2023-04-29 11:48:23.677 GMT","Adela Sobotkova","2023-04-29 11:48:39 GMT","205","Other,emergency exit","Adela Sobotkova","2023-04-29 13:48:23+02:00","Map","3","just an emergency exit in the yard of strandparken leading from a large underground parking garage","56.14398107225458","10.207324881053337","6222760.865140194","575015.9310763036","3.0","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/205_Other__1.jpg''}}","","NA","NA","NOT AVAILABLE","","","Square","NA","exit hole is filled in with glass tiles for 201-203 exits in strandparken, 204 is covered by a metal sheet, 205 (here) is glass covered","","","na","","","POINT(575015.931076 6222760.86514)"
"1000021682768988689","206-{Other}","Adela Sobotkova","2023-04-29 11:49:48.689 GMT","Adela Sobotkova","2023-04-29 11:50:08 GMT","206","Other,emergency exit","Adela Sobotkova","2023-04-29 13:49:48+02:00","Map","5","just an emergency exit in the yard of strandparken leading from a large underground parking garage","56.144083658055415","10.207270373883679","6222772.2227018755","575012.3447150622","3.0","Shrubs","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/206_Other__1.jpg''}}","","NA","NA","NOT AVAILABLE","","","Square","NA","exit hole is glass covered","","","na","","","POINT(575012.344715 6222772.222702)"
"1000021682769863447","207-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 12:04:57.434 GMT","Adela Sobotkova","2023-04-29 12:06:33 GMT","207","Shelter Type III","Adela Sobotkova","2023-04-29 14:04:23+02:00","Map","1","type Iii north oriented in the island between roads towards tankrogen","56.14091887498927","10.204309661388685","6222416.796890312","574834.5432434416","3.0","Grass","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/207_Shelter_Type_III__1.jpg''}}","dalgas ave north most shelter","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","E","overgrown with vine but visible and accessible","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/207_Shelter_Type_III__1.jpg''}}","Square","Side","north corner of the shelter, overgrown with vine and scrub","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/207_Shelter_Type_III__1.jpg''}}","0.2","","","","POINT(574834.543243 6222416.79689)"
"1000021682770716813","208-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 12:18:49.037 GMT","Adela Sobotkova","2023-04-29 12:23:07 GMT","208","Shelter Type III","Adela Sobotkova","2023-04-29 14:18:36+02:00","Map","2","mostly cleared shelter with accessible exterior, with entrance facing west","56.13990718079035","10.205352865361917","6222305.33698114","574901.3304502536","3.0","Grass","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/208_Shelter_Type_III__1.jpg''}}","dalgas ave middle shelter","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","W","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/208_Shelter_Type_III__1.jpg''}}","Square","Side","north edge of shelter, cleared, visible ?and accessible","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/208_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574901.33045 6222305.336981)"
"1000021682771141473","209-{Shelter_Type_III}","Adela Sobotkova","2023-04-29 12:25:41.473 GMT","Adela Sobotkova","2023-04-29 12:27:31 GMT","209","Shelter Type III","Adela Sobotkova","2023-04-29 14:25:41+02:00","Map","2 (these two iterations are 5 m apart side by side not interconnected)","mostly cleared shelter with accessible exterior, with entrance facing west","56.13970771599126","10.205550418080902","6222283.352936461","574913.9937223266","3.0","Grass","Grassland or park","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/209_Shelter_Type_III__1.jpg''}}","dalgas ave south most shelter, great for pictures","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","W","very nicely cleared best example","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/209_Shelter_Type_III__1.jpg''}}","Square","Side","north edge of shelter, overgrown but accessible","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/209_Shelter_Type_III__1.jpg''}}","0.3","inaccessible","","","POINT(574913.993722 6222283.352936)"
