id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat,status
317022D5-5DB9-4990-8131-057AD31A11A6,1962,75,751,GEOMETRYCOLLECTION EMPTY,10
867E3EE9-DBFB-4480-A9E5-05D10669F72A,1952,25,751,POINT (574051.77 6225655.2),10
2CC077A4-8893-4BEF-A983-0DC18BD82389,1979,65,751,GEOMETRYCOLLECTION EMPTY,10
88D35A0C-1D55-4BE5-99A3-18121C25BD99,1997,40,751,GEOMETRYCOLLECTION EMPTY,10
46E917C2-AE97-4B02-992A-19220B9FBD99,1993,78,751,GEOMETRYCOLLECTION EMPTY,10
507D7C6F-87DD-431D-B82F-2C934891CB59,1878,71,751,GEOMETRYCOLLECTION EMPTY,10
E0D0B555-6972-480B-A02A-2CAD94AD32C3,1940,40,751,GEOMETRYCOLLECTION EMPTY,10
919E702B-3D6C-47A9-BDEA-3007DE754B83,1966,457,751,POINT (569106.84 6227644.73),6
E902040D-E37E-4C83-BE90-302D63584A0B,1915,25,751,GEOMETRYCOLLECTION EMPTY,10
C4D75A33-A034-483C-AC4C-4070DAB749B6,1965,290,751,POINT (575387.8 6227601.05),10
3B031F04-CD10-4AE8-B5CA-4482DC9C27F5,1956,80,751,POINT (572731.56 6220530.59),10
7B502C8E-0169-4E4B-9E89-45A7A953C3FA,1963,60,751,POINT (575147.93 6227432.11),10
91C22BC0-752B-4E93-A22D-495B4481EFF2,1962,66,751,POINT (572652.55 6221014.87),10
89498F8D-2A93-416D-8F88-5400C44AD92A,1968,51,751,GEOMETRYCOLLECTION EMPTY,10
3782ECDB-1347-4D1F-B07C-568D761EA736,1973,299,751,POINT (570422.44 6224455.12),10
164998F2-3425-431B-B2FA-58B2B0E21A87,1986,230,751,POINT (573236.11 6229402.26),10
1E458A81-8B26-4451-8428-5AFC61589F3C,1966,251,751,POINT (568995.14 6227727.75),6
6B6EB3F6-60FA-4D8D-A584-6261F7ED7303,1950,20,751,POINT (574082.22 6225713.94),10
E1EA034A-3003-4953-92BC-85FBB0E5DACB,1990,31,751,POINT (572531.41 6220302.02),10
7D8A903D-1D1C-4A87-9EB1-86144A18BA38,1981,95,751,POINT (575147.93 6227432.11),10
4627C4A4-78DB-4882-BC85-88FE956297B6,1976,26,751,POINT (570513.77 6226325.22),10
D2F7D965-581A-4372-97B6-8FA4E3A8A296,1989,59,751,GEOMETRYCOLLECTION EMPTY,10
01F4A5E8-FF01-4F6E-8788-964D02213F4D,1961,120,751,POINT (575115.67 6227390.01),10
A2BA7B63-F3F4-455F-9D93-96BC257D461B,1936,50,751,POINT (571497.63 6224220.14),10
96954762-13C6-41CE-B8C8-AA2712552970,1959,22,751,POINT (572699.29 6220442.9),10
077A7441-DF79-4CDA-8DAA-B197E6B8B5CB,1970,55,751,POINT (573247.04 6229341.34),10
12B47919-3572-4690-9E07-BB6334237E10,1970,900,751,GEOMETRYCOLLECTION EMPTY,10
BE3B7190-3BF2-433C-B50E-C6B33F1DA86A,1960,10,751,POINT (572582.66 6220483.33),10
BFE2F83A-A1E0-4F52-881A-CE9AC700F4D9,1959,100,751,POINT (575380.01 6227402.6),10
D6E121CD-A928-4944-B3A8-D1A1D6706A84,1961,55,751,GEOMETRYCOLLECTION EMPTY,10
3D278EFD-B358-4DEC-92AB-D2B04D9C8943,1998,200,751,POINT (574465.41 6224271.61),10
EC7B8215-5B5E-475E-B094-D2CD61F2C897,1965,70,751,POINT (573968.79 6224127.12),10
A130029F-50AF-4980-8AE4-D3384B906832,1969,78,751,GEOMETRYCOLLECTION EMPTY,10
2074BCC2-60D7-4A4F-AB5B-D7E410B0A191,1968,48,751,GEOMETRYCOLLECTION EMPTY,10
2F05590B-B45A-457D-989F-DE3D0CA53A22,1950,372,751,POINT (574357 6222888.01),10
7170876E-A799-4057-BE9F-ED742D7DAEC4,1953,333,751,POINT (575329.99 6227262.32),10
390D370F-247A-4DF7-9773-F39F071AC9B5,1960,36,751,POINT (572751.84 6220453.28),10
FC7D40D4-DD96-4042-9AE9-B6350B279054,1954,180,751,POINT (572024.28 6221124.11),6
FAEA9BFE-4823-4EDD-B8BC-56A387F8EFBE,1983,137,751,POINT (570665.07 6220501.91),6
FAB1C208-7BFA-4280-800D-199D333D68A0,1953,34,751,POINT (572270.93 6220887.32),6
F97CADBF-824B-4E98-A01C-7B40D2451ECC,1959,80,751,POINT (573037.4 6221142.01),6
F5C79142-72D3-41AC-9073-67748CB52807,1969,126,751,POINT (570710.25 6220441),6
F3D4B0AC-6A46-409A-8BE7-99033329AC6A,1962,83,751,POINT (569549.93 6223473.37),6
F3C8A850-AD24-43B7-A50D-4765EB0C8566,1947,152,751,POINT (572499.56 6221230.11),6
F2BD32FC-BE25-46D7-A75C-DA685FE0A663,1983,137,751,POINT (570568.73 6220503.17),6
EA4F031F-EFF4-46A4-AE59-FF4FD3187889,1953,20,751,POINT (573098.08 6221719.08),6
E86DBCDF-D14D-4052-B3F8-1205F59A0E0E,1992,33,751,POINT (568700.38 6219042.27),6
E7F448A6-360A-48F7-A8AF-7B99574BFB18,1993,40,751,POINT (573286.05 6219109.31),6
E42586AD-F467-47B5-AE7D-932F82E45685,1967,105,751,POINT (573101.23 6220023.92),6
E1CA1DB9-DD73-4068-90B1-519C552B4519,1969,81,751,POINT (572063.05 6219673.4),6
