"uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","FeatureID","FeatureType","ShelterAuthor","ShelterTimestamp","FeatureSource","NumberOfIterationsSubtype","FeatureDescription","Latitude","Longitude","Northing","Easting","Accuracy","LanduseOnTop","LanduseAround","OverviewPhoto","LocaleDescription","EntrywayType","AccessiblityOfShelterDuringVisit","EntrywayFacesDirection","CommentsOnEntrywayAndAccess","EntrywayPhoto","EmergencyExitShape","EmergencyExitLocation","NotesOnEmergencyExit","EmergencyExitPhoto","DistanceFromSwanNeckToEmergencyExitM","InteriorDescription","InteriorPhoto","CommentsAndRecommendations","geospatialcolumn"
"1000051684139936172","166-{Shelter_Type_III}","Lise Søndergaard Jensen ","2023-05-15 08:39:03.942 GMT","Lise Søndergaard Jensen ","2023-05-15 08:46:48 GMT","166","Shelter Type III","Lise Søndergaard Jensen ","2023-05-15 10:38:56+02:00","Map","4","The shape is partly visible in the surroundings.","56.164006216666664","10.19687745","6224978.170008551","574328.1553033509","0.7","Trees (grass)","Street (park)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/166_Shelter_Type_III__1.jpg''}}","Located at the SW corner of Langelandsgade and Kaserneboulevarden. 166 is in the north end of the area.","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","N","covered in vegetation, hardly visible, not accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/166_Shelter_Type_III__1.jpg''}}","Square","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/166_Shelter_Type_III__1.jpg''}}","0.3","not able to enter the shelter.","","not any.","POINT(574328.155303 6224978.170009)"
"1000051684140410286","167-{Shelter_Type_III}","Lise Søndergaard Jensen ","2023-05-15 08:46:50.287 GMT","Lise Søndergaard Jensen ","2023-05-15 08:47:31 GMT","167","Shelter Type III","Lise Søndergaard Jensen ","2023-05-15 10:46:50+02:00","Map","4","The shape is partly visible in the surroundings.","56.1637706","10.196756683333334","6224951.817842667","574321.1109101964","0.7","Trees (grass)","Street (park)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/167_Shelter_Type_III__1.jpg''}}","Located at the SW corner of Langelandsgade and Kaserneboulevarden. 166 is in the north end of the area.","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","N","covered in vegetation, not visible, not accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/167_Shelter_Type_III__1.jpg''}}","Square","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/167_Shelter_Type_III__1.jpg''}}","0.3","not able to enter the shelter.","","not any.","POINT(574321.11091 6224951.817843)"
"1000051684140625049","168-{Shelter_Type_III}","Lise Søndergaard Jensen ","2023-05-15 08:50:25.049 GMT","Lise Søndergaard Jensen ","2023-05-15 08:51:24 GMT","168","Shelter Type III","Lise Søndergaard Jensen ","2023-05-15 10:50:24+02:00","Map","4","The shape is partly visible in the surroundings.","56.16365733333333","10.196736683333333","6224939.190725255","574320.087667566","0.6","Trees (grass)","Street (park)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/168_Shelter_Type_III__1.jpg''}}","Located at the SW corner of Langelandsgade and Kaserneboulevarden. 166 is in the north end of the area.","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","N","covered in vegetation, not visible, not accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/168_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/168_Shelter_Type_III__2.jpg''}}","Square","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/168_Shelter_Type_III__1.jpg''}}","0.3","not able to enter the shelter.","","not any.","POINT(574320.087668 6224939.190725)"
"1000051684140832085","169-{Shelter_Type_III}","Lise Søndergaard Jensen ","2023-05-15 08:53:52.085 GMT","Lise Søndergaard Jensen ","2023-05-15 08:54:17 GMT","169","Shelter Type III","Lise Søndergaard Jensen ","2023-05-15 10:53:51+02:00","Map","4","The shape is partly visible in the surroundings.","56.163564183333335","10.196715933333333","6224928.80160518","574318.9789961905","0.6","Other (grass)","Street (park)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/169_Shelter_Type_III__1.jpg''}}","Located at the SW corner of Langelandsgade and Kaserneboulevarden. 166 is in the north end of the area.","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","N","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/169_Shelter_Type_III__1.jpg''}}","Square","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/169_Shelter_Type_III__1.jpg''}}","0.3","not able to enter the shelter.","","not any.","POINT(574318.978996 6224928.801605)"
"1000051684141700117","170-{Shelter_Type_IV}","Lise Søndergaard Jensen ","2023-05-15 09:08:30.443 GMT","Lise Søndergaard Jensen ","2023-05-15 09:24:07 GMT","170","Shelter Type IV,Type IV-A.","Lise Søndergaard Jensen ","2023-05-15 11:08:20+02:00","Map","1","Type IV-A. Entrance and exits are visible. the shape is not visible.","56.16069196666667","10.19618655","6224608.579349746","574291.6487389408","0.6","Grass","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/170_Shelter_Type_IV__1.jpg''}}","Located where Langelandsgade changes to Hjortensgade. Opposite Sankt Markus Kirke.","Other (covered with a metal plate.)","Locked","SE","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/170_Shelter_Type_IV__1.jpg''}}","Round","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/170_Shelter_Type_IV__1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/170_Shelter_Type_IV__2a.jpg''}}","2.0","not able to enter the shelter.","","not any.","POINT(574291.648739 6224608.57935)"
"1000051684143276909","171-{Shelter_Type_III}","Lise Søndergaard Jensen ","2023-05-15 09:34:53.866 GMT","Lise Søndergaard Jensen ","2023-05-15 09:41:22 GMT","171","Shelter Type III","Lise Søndergaard Jensen ","2023-05-15 11:34:36+02:00","Map","1","Entrance and exit is visible. The shape is not visible.","56.16137511666667","10.198261766666667","6224686.844908366","574419.2063760993","0.6","Shrubs","Urban structures","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/171_Shelter_Type_III__1.jpg''}}","Located between Gronnegade, Langelandsgade and Sankt Markus Kirke. Behind Gronnegade 105-123.","Doorway","Locked","SE","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/171_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/171_Shelter_Type_III__2.jpg''}}","Square","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/171_Shelter_Type_III__1.jpg''}}","0.35","not able to enter the shelter.","","not any.","POINT(574419.206376 6224686.844908)"
"1000051684149485094","172-{Shelter_Type_III}","Lise Søndergaard Jensen ","2023-05-15 11:18:44.250 GMT","Lise Søndergaard Jensen ","2023-05-15 11:52:36 GMT","172","Shelter Type III","Lise Søndergaard Jensen ","2023-05-15 13:18:05+02:00","Map","1","Not visible in the surroundings.","56.153729266666666","10.20160025","6223839.538655763","574641.3585458478","0.7","Shrubs","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/172_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/172_Shelter_Type_III__2.jpg''}}","located at the corner of Vester Alle and Christiansgade. along vester alle, close to museum of art, Aros.","Concrete slabs (covered in vegetation.)","Barred (concrete slabs or earthen cover bar access fully or partially)","NE","not visible, not accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/172_Shelter_Type_III__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/172_Shelter_Type_III__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/172_Shelter_Type_III__3.jpg''}}","Square","Side","covered in plants. swan neck visible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/172_Shelter_Type_III__1.jpg''}}","0.3","not able to enter the shelter.","","not any.","POINT(574641.358546 6223839.538656)"
"1000051684154093178","173-{Shelter_Type_VI}","Lise Søndergaard Jensen ","2023-05-15 12:35:06.829 GMT","Lise Søndergaard Jensen ","2023-05-15 12:50:10 GMT","173","Shelter Type VI,it could be a type VI-A3","Lise Søndergaard Jensen ","2023-05-15 14:34:53+02:00","Map","2","Only the exits are visible.","56.15008676666667","10.201459283333334","6223434.009480528","574639.6632833099","0.6","Other (parking lot )","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/173_Shelter_Type_VI__1a.jpg''}}","Located at Orla Lehmanns Alle, in the middle of the parking lot.","Other (covered in vegetation )?","Barred (concrete slabs or earthen cover bar access fully or partially)","N","not visible, not accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/173_Shelter_Type_VI__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/173_Shelter_Type_VI__2.jpg''}}","Round","Side","visible, swan neck not there.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/173_Shelter_Type_VI__1.jpg''}}","0.0","not able to enter the shelter.","","not any.","POINT(574639.663283 6223434.00948)"
"1000051684155032900","174-{Shelter_Type_VI}","Lise Søndergaard Jensen ","2023-05-15 12:50:32.901 GMT","Lise Søndergaard Jensen ","2023-05-15 12:50:45 GMT","174","Shelter Type VI,it could be a type VI-A3","Lise Søndergaard Jensen ","2023-05-15 14:50:32+02:00","Map","2","Only the exits are visible.","56.14988006666667","10.201229633333334","6223410.757226573","574625.7978544246","0.6","Structure (parking lot )","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/174_Shelter_Type_VI__1a.jpg''}}","Located at Orla Lehmanns Alle, in the middle of the parking lot.","Concrete slabs","Barred (concrete slabs or earthen cover bar access fully or partially)","S","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/174_Shelter_Type_VI__1.jpg''}}","Round","Side","visible, swan neck not there.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/174_Shelter_Type_VI__1.jpg''}}","0.0","not able to enter the shelter.","","not any.","POINT(574625.797854 6223410.757227)"
"1000051684157808105","175-{Shelter_Type_VI}","Lise Søndergaard Jensen ","2023-05-15 13:38:27.224 GMT","Lise Søndergaard Jensen ","2023-05-15 13:46:04 GMT","175","Shelter Type VI,could be VI-A3.","Lise Søndergaard Jensen ","2023-05-15 15:36:48+02:00","Map","1","Could be VI-A3 entrance and exit is visible.","56.15863301666667","10.210499066666667","6224394.945253992","575184.5290355462","0.6","Grass","Street","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/175_Shelter_Type_VI__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/OverviewPhoto/175_Shelter_Type_VI__2a.jpg''}}","Located in the street, Graven, opposite no 16, next to Rosenpassagen.","Doorway","Locked","NW","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EntrywayPhoto/175_Shelter_Type_VI__1.jpg''}}","Round","Side","visible and accessible.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Shelter/EmergencyExitPhoto/175_Shelter_Type_VI__1.jpg''}}","3.0","not able to enter the shelter.","","not any.","POINT(575184.529036 6224394.945254)"
