uuid,identifier,createdBy,createdAt0,modifiedBy,modifiedA0,FeatureID,FeatureTy0,ShelterAu0,ShelterTi0,FeatureSo0,NumberOfI0,FeatureDe0,Latitude,Longitude,Northing,Easting,Accuracy,LanduseOn0,LanduseAr0,OverviewP0,LocaleDes0,EntrywayT0,Accessibl0,EntrywayF0,CommentsO0,EntrywayP0,Emergency0,Emergency1,NotesOnEm0,Emergency2,DistanceF0,InteriorD0,InteriorP0,CommentsA0
1000021682767059876,200-{Shelter_Type_II},Adela Sobotkova,2023-04-29 11:18:23.259 GMT,Adela Sobotkova,2023-04-29 11:37:50 GMT,200,Shelter Type II,Adela Sobotkova,2023-04-29 13:17:39+02:00,Map,2 (at least two as two exits\chimmbeys located),t-shaped cluster of scrub-overgrown type 2? shelters with vine covered exits. intersection is elevated as if mounded or round shelter below?? puzzling type,56.14344081666667,10.207442433333334,6222700.867633407,575024.2870411633,1.5,Shrubs,Grassland or park,files/app/bf1d945a-66db-4380-83f0-dc5bd6593999_image-1682767723114.original.jpg,Strandparken 35 above the coastal road,Access buried or indeterminate,"NA",NOT AVAILABLE,entry not locatable,NA,Square,Side,NA,files/app/139c59a8-c085-47b4-9e44-fe788dadcde3_image-1682767876256.original.jpg - files/app/c141cdfa-9470-4329-b136-1586e226ef12_image-1682767905944.original.jpg,0.2,na,NA,consult with thorbjorn
1000021682768373348,201-{Other},Adela Sobotkova,2023-04-29 11:40:09.329 GMT,Adela Sobotkova,2023-04-29 11:40:34 GMT,201,"Other,emergency exit",Adela Sobotkova,2023-04-29 13:39:33+02:00,Map,3,NA,56.14364712630468,10.207552548068271,6222723.947697626,575030.7267103236,3.0,Shrubs,Grassland or park,files/app/0ed777df-387a-4f29-b069-05b32f698f7a_image-1682768471363.original.jpg,NA,"NA","NA",NOT AVAILABLE,NA,NA,Square,"NA",NA,NA,NA,NA,NA,NA
1000021682768548507,202-{Other},Adela Sobotkova,2023-04-29 11:42:28.507 GMT,Adela Sobotkova,2023-04-29 11:42:43 GMT,202,"Other,emergency exit",Adela Sobotkova,2023-04-29 13:42:28+02:00,Map,3,just an emergency exit in the yard of strandparken leading from a large underground parking garage,56.14374704313749,10.207556042657778,6222735.0712964265,575030.7491835443,3.0,Shrubs,Grassland or park,files/app/4ec3388d-b617-4bda-a51d-0b18689f8405_image-1682768606924.original.jpg,NA,"NA","NA",NOT AVAILABLE,NA,NA,Square,"NA",NA,NA,NA,NA,NA,NA
1000021682768679366,203-{Other},Adela Sobotkova,2023-04-29 11:44:39.366 GMT,Adela Sobotkova,2023-04-29 11:45:43 GMT,203,"Other,emergency exit",Adela Sobotkova,2023-04-29 13:44:39+02:00,Map,3,just an emergency exit in the yard of strandparken leading from a large underground parking garage,56.143845954130704,10.207612682714016,6222746.1407566285,575034.0755819952,4.0,Shrubs,Grassland or park,files/app/ad7debc4-2271-4229-886e-55772fad8047_image-1682768721542.original.jpg,NA,"NA","NA",NOT AVAILABLE,NA,NA,Square,"NA",exit hole is filled in with glass tiles for 201-203 exits in strandparken,NA,NA,NA,NA,NA
1000021682768821236,204-{Other},Adela Sobotkova,2023-04-29 11:47:01.237 GMT,Adela Sobotkova,2023-04-29 11:47:09 GMT,204,"Other,emergency exit",Adela Sobotkova,2023-04-29 13:47:01+02:00,Map,3,just an emergency exit in the yard of strandparken leading from a large underground parking garage,56.14397180015376,10.207398993260336,6222759.913833255,575020.5537672482,3.0,Shrubs,Grassland or park,files/app/4f96bc42-00a0-4d74-9491-6dce34df6a6a_image-1682768829032.original.jpg,NA,"NA","NA",NOT AVAILABLE,NA,NA,Square,"NA","exit hole is filled in with glass tiles for 201-203 exits in strandparken, 204 is covered by a metal sheet",NA,NA,na,NA,NA
1000021682768903677,205-{Other},Adela Sobotkova,2023-04-29 11:48:23.677 GMT,Adela Sobotkova,2023-04-29 11:48:39 GMT,205,"Other,emergency exit",Adela Sobotkova,2023-04-29 13:48:23+02:00,Map,3,just an emergency exit in the yard of strandparken leading from a large underground parking garage,56.14398107225458,10.207324881053337,6222760.865140194,575015.9310763036,3.0,Shrubs,Grassland or park,files/app/4c557a90-06ea-422d-9e1d-a796101dff62_image-1682768947880.original.jpg,NA,"NA","NA",NOT AVAILABLE,NA,NA,Square,"NA","exit hole is filled in with glass tiles for 201-203 exits in strandparken, 204 is covered by a metal sheet, 205 (here) is glass covered",NA,NA,na,NA,NA
1000021682768988689,206-{Other},Adela Sobotkova,2023-04-29 11:49:48.689 GMT,Adela Sobotkova,2023-04-29 11:50:08 GMT,206,"Other,emergency exit",Adela Sobotkova,2023-04-29 13:49:48+02:00,Map,5,just an emergency exit in the yard of strandparken leading from a large underground parking garage,56.144083658055415,10.207270373883679,6222772.2227018755,575012.3447150622,3.0,Shrubs,Grassland or park,files/app/bfb1999f-d689-40a5-a261-528427e073de_image-1682769008042.original.jpg,NA,"NA","NA",NOT AVAILABLE,NA,NA,Square,"NA",exit hole is glass covered,NA,NA,na,NA,NA
1000021682769863447,207-{Shelter_Type_III},Adela Sobotkova,2023-04-29 12:04:57.434 GMT,Adela Sobotkova,2023-04-29 12:06:33 GMT,207,Shelter Type III,Adela Sobotkova,2023-04-29 14:04:23+02:00,Map,1,type Iii north oriented in the island between roads towards tankrogen,56.14091887498927,10.204309661388685,6222416.796890312,574834.5432434416,3.0,Grass,Grassland or park,files/app/75cb9591-31a2-44e4-b0de-dca660b69cf0_image-1682770008605.original.jpg,dalgas ave north most shelter,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),E,overgrown with vine but visible and accessible,files/app/95a2606b-35ca-443b-952e-b1bcc2ed963f_image-1682770209610.original.jpg,Square,Side,"north corner of the shelter, overgrown with vine and scrub",files/app/26765310-31e8-464f-9500-bd099d192cd0_image-1682770353298.original.jpg,0.2,NA,NA,NA
1000021682770716813,208-{Shelter_Type_III},Adela Sobotkova,2023-04-29 12:18:49.037 GMT,Adela Sobotkova,2023-04-29 12:23:07 GMT,208,Shelter Type III,Adela Sobotkova,2023-04-29 14:18:36+02:00,Map,2,"mostly cleared shelter with accessible exterior, with entrance facing west",56.13990718079035,10.205352865361917,6222305.33698114,574901.3304502536,3.0,Grass,Grassland or park,files/app/fc804be7-ebb0-4209-96ca-52907ed357b3_image-1682770986949.original.jpg,dalgas ave middle shelter,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),W,NA,files/app/41589a5a-8f59-4c64-b4d9-8bc3487dae61_image-1682771063427.original.jpg,Square,Side,"north edge of shelter, cleared, visible ?and accessible",files/app/abfa13a3-4b37-47e4-ade0-f327e3dcdc05_image-1682770730949.original.jpg,0.3,inaccessible,NA,NA
1000021682771141473,209-{Shelter_Type_III},Adela Sobotkova,2023-04-29 12:25:41.473 GMT,Adela Sobotkova,2023-04-29 12:27:31 GMT,209,Shelter Type III,Adela Sobotkova,2023-04-29 14:25:41+02:00,Map,2 (these two iterations are 5 m apart side by side not interconnected),"mostly cleared shelter with accessible exterior, with entrance facing west",56.13970771599126,10.205550418080902,6222283.352936461,574913.9937223266,3.0,Grass,Grassland or park,files/app/2b96b392-2aeb-4856-831e-de157c4e237c_image-1682771227463.original.jpg,"dalgas ave south most shelter, great for pictures",Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),W,very nicely cleared best example,files/app/3f9e2198-75c0-4bef-a9e0-44ad2beaed81_image-1682771210036.original.jpg,Square,Side,"north edge of shelter, overgrown but accessible",files/app/e174f71d-eaa1-4391-be75-65319ac9967d_image-1682771176710.original.jpg,0.3,inaccessible,NA,NA
