identifier,record_id,revision_id,type,created_by,created,updated_by,updated,author,id,hridShelter,feature-source,overview-photo,shelter-type,belongs-to-shelter-subtype,locale-description,take-point-from-gps,take-point-from-gps_latitude,take-point-from-gps_longitude,take-point-from-gps_accuracy,landuse-on-top,landuse-around,feature-note,Map,entryway-type,accessiblity-of-shelter-during-visit,entryway-direction,entryway-photo,comments-on-entryway,emergency-exit-shape,emergency-exit-location,distance-from-swan-neck-to-emergency-exit-m,emergency-exit-photo,notes-on-emergency-exit,interior-description,comments-and-recommendations
0187-III-Adela,rec-73137744-e196-4a0b-ba57-55d3c2f03fbf,frev-10e25e32-f3ea-475b-903f-3ca1dabe580a,Shelter,,2024-09-21T11:53:51.283Z,1.09468306189159E+020,2024-09-21T11:53:51.283Z,Adela,187,0187-III-Adela,Tommy Cassoes data,overview-photo/0187-III-Adela-overview-photo.jpg,III,A,"Tilstvestervej 3a type next to the road, hidden under bushes of roses, cesmina, and nettles and trees","{""type"":""Feature"",""properties"":{""timestamp"":1726919179638,""altitude"":111.5999984741211,""speed"":0.34692278504371643,""heading"":168,""accuracy"":8.899999618530273,""altitude_accuracy"":1},""geometry"":{""type"":""Point"",""coordinates"":[10.0952767,56.191405]}}",56.191405,10.0952767,8.89999961853027,Shrubs,Grassland or park,Path runs next to feature which is virtually obscured by vines and dense overgrowth ,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SW,entryway-photo/0187-III-Adela-entryway-photo.jpg,"Entryway on SWside of shelter,  facing the path. Exit at each end. Low only ca 1m above surroundings ", Square, Side,0.3,emergency-exit-photo/0187-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
0188-III-Adela,rec-2398b8f4-7672-4932-88e8-780458037d3b,frev-ad4c98cf-e163-416e-b065-96c6c4098057,Shelter,,2024-09-21T12:10:37.906Z,1.09468306189159E+020,2024-09-21T12:10:37.906Z,Adela,188,0188-III-Adela,Tommy Cassoes data,overview-photo/0188-III-Adela-overview-photo.jpg,III,A,"Same as 187, but 250m to the south trees growing over double capacity shelter","{""type"":""Feature"",""properties"":{""timestamp"":1726920505678,""altitude"":16.9,""speed"":0,""heading"":0,""accuracy"":11.899999618530273,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.092875,56.19058]}}",56.19058,10.092875,11.8999996185303,Trees,Grassland or park,Heavily overgrown ,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SW,entryway-photo/0188-III-Adela-entryway-photo.jpg,"Overgrown but not as hidden as 187, trimmed nicely to fit in the park ", Square, Side,0.3,emergency-exit-photo/0188-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
0189-III-Adela,rec-05467949-6f85-4a66-b7c3-5a635bbe1509,frev-6877ccf2-5ed9-4a60-92b1-7f50803762b5,Shelter,,2024-09-21T13:00:33.152Z,1.09468306189159E+020,2024-09-21T13:00:33.152Z,Adela,189,0189-III-Adela,Tommy Cassoes data,overview-photo/0189-III-Adela-overview-photo.jpg;overview-photo/0189-III-Adela-overview-photo_1.jpg,III,Single iteration,"Next to jernaldervej, in a ditch below road level in tall grass,  point taken on top of entrance. Rampconnects shelter with road","{""type"":""Feature"",""properties"":{""timestamp"":1726923586814,""altitude"":157.8,""speed"":0.011029629036784172,""heading"":0,""accuracy"":10,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.1363269,56.173098]}}",56.173098,10.1363269,10,Grass,Grassland or park,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),SSW,entryway-photo/0189-III-Adela-entryway-photo.jpg,, Square, Side,0.3,emergency-exit-photo/0189-III-Adela-emergency-exit-photo.jpg,"Metal cover part open, on north side",Inaccessible ,
0190-III-Adela,rec-6bb2f522-2eea-4710-9dcb-3f8565b43ffd,frev-ef928a93-6896-4138-b98b-0331601564c3,Shelter,,2024-09-21T13:08:23.136Z,1.09468306189159E+020,2024-09-21T13:08:23.136Z,Adela,190,0190-III-Adela,Tommy Cassoes data,overview-photo/0190-III-Adela-overview-photo.jpg,III,A,"West of 189, same below level position  with a ramp, overgrown with 0.8m grass","{""type"":""Feature"",""properties"":{""timestamp"":1726923879985,""altitude"":157.8,""speed"":0,""heading"":0,""accuracy"":11.899999618530273,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.13604,56.1733717]}}",56.1733717,10.13604,11.8999996185303,Grass,Grassland or park,"Grass is trodden with narrow paths, someone was checking these recently ",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),SSW,entryway-photo/0190-III-Adela-entryway-photo.jpg,, Square, Side,0.3,emergency-exit-photo/0190-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
0191-V-Adela,rec-364b208c-6076-4bb0-9eea-ae70964182c8,frev-05cfab1d-d08f-4dd9-ad0d-b78ac720c82b,Shelter,,2024-09-21T13:59:19.511Z,1.09468306189159E+020,2024-09-21T13:59:19.511Z,Adela,191,0191-V-Adela,Tommy Cassoes data,overview-photo/0191-V-Adela-overview-photo.jpg,V,Single iteration,Next to silkeborgvej in the engbakken and hovedgaden turn,"{""type"":""Feature"",""properties"":{""timestamp"":1726926742223,""altitude"":157.8,""speed"":1.6769649982452393,""heading"":169,""accuracy"":9.300000190734863,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.1124983,56.152795]}}",56.152795,10.1124983,9.30000019073486,Trees,Grassland or park,"Uncertain type as the entrance is sealed with roof overstrips and no exit or pipe is in view. Theymaybeunder the linden tree whose branches reach to the ground. We searched below but could not locate a pipe, all other sidesare paved by roads",1,Access buried or indeterminate, Barred (concrete slabs or earthen cover bar access fully or partially), E,entryway-photo/0191-V-Adela-entryway-photo.jpg,"Entry sealed with asphalt tarp, like in playgrounds.", NA, NA,0,,,Inaccessible ,
0192-IV-Adela,rec-3c102748-ec1a-445e-bea4-978b31e36316,frev-4455cff4-9fc9-48e5-b8f4-0645cc66b149,Shelter,,2024-09-21T14:18:39.348Z,1.09468306189159E+020,2024-09-21T14:18:39.348Z,Adela,192,0192-IV-Adela,Tommy Cassoes data,overview-photo/0192-IV-Adela-overview-photo.jpg,IV,Single iteration,"Truevej 7,brabrand","{""type"":""Feature"",""properties"":{""timestamp"":1726927955370,""altitude"":157.8,""speed"":0,""heading"":0,""accuracy"":11.899999618530273,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.1008833,56.1537333]}}",56.1537333,10.1008833,11.8999996185303,Shrubs,Urban structures or paved,"Feature at street level, serves as bike storage, scrub and hedges on top, passable, climbable Covered",1, Doorway, Locked,S,entryway-photo/0192-IV-Adela-entryway-photo.jpg;entryway-photo/0192-IV-Adela-entryway-photo_1.jpg,Accessible and in use bylocal residents ,Round,Central,1,emergency-exit-photo/0192-IV-Adela-emergency-exit-photo.jpg,Swanneck hidden in bushes ca 1m from exit in NE direction ,Bike cellar with narrow entryway.at street level and protruding up to the bridge with silkeborgvej overpass,
0193-IV-Adela,rec-e93fb355-99b6-4061-bd38-b1ce4a013804,frev-c589cd5b-3702-4b17-a532-20c0a7923f29,Shelter,,2024-09-21T14:41:21.781Z,1.09468306189159E+020,2024-09-21T18:01:49.538Z,Adela,193,0193-IV-Adela,Tommy Cassoes data,overview-photo/0193-IV-Adela-overview-photo.jpg;overview-photo/0193-IV-Adela-overview-photo_1.jpg,IV,Single iteration,"Located in a garden at sødalsvej 1, type 4, entrance before garage, exit under trees, swanneck not visible ","{""type"":""Feature"",""properties"":{""timestamp"":1726929665547,""altitude"":157.8,""speed"":0.0007813472766429186,""heading"":0,""accuracy"":9.5,""altitude_accuracy"":100.0999984741211},""geometry"":{""type"":""Point"",""coordinates"":[10.0938565,56.1528266]}}",56.1528266,10.0938565,9.5,Trees,Playground or schoolyard,Private yard or Garden,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),W,entryway-photo/0193-IV-Adela-entryway-photo.jpg,Entryway level with road,Round,Central,3,emergency-exit-photo/0193-IV-Adela-emergency-exit-photo.jpg;emergency-exit-photo/0193-IV-Adela-emergency-exit-photo_1.jpg,"Old, concrete top, some damage. Sealed with metal straps, straight pipe some 3m away, top sawn off",Inaccessible ,Owner present. Reported that kommune sealed the exit 2 years ago
0194-III-Adela,rec-6cc081cd-3221-4401-b403-1438f4a92641,frev-9ac941d1-4036-48ff-bb98-fb111b49ce25,Shelter,,2024-09-22T12:56:46.105Z,1.09468306189159E+020,2024-09-22T13:08:04.803Z,Adela,194,0194-III-Adela,Tommy Cassoes data,overview-photo/0194-III-Adela-overview-photo.jpg,III,Single iteration,"North end of Permanente,  the most southern  or proximate to the beach, 3levated above the pedestrian zone","{""type"":""Feature"",""properties"":{""timestamp"":1727009793538,""altitude"":46.89999771118164,""speed"":3.383089780807495,""heading"":72.9644775390625,""accuracy"":10.130000114440918,""altitude_accuracy"":1.030402421951294},""geometry"":{""type"":""Point"",""coordinates"":[10.2308616,56.1772095]}}",56.1772095,10.2308616,10.1300001144409,Trees,Forest,"Well visible and clear view shelter, with good access and not overgrown. The tall tree canopy makes it hard to capture GPS though. Top of exit and entrance (sandfilter recently braced with metal strap and lid)",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),NW,entryway-photo/0194-III-Adela-entryway-photo.jpg;entryway-photo/0194-III-Adela-entryway-photo_1.jpg,, Square, Side,0.3,emergency-exit-photo/0194-III-Adela-emergency-exit-photo.jpg,"Metal top but closed, swanneck mangled, c9ncrete lid lies at the beach side of shelter ",Inaccessible ,
0195-III-Adela,rec-09b4c9fa-97e2-4e39-a132-698504472878,frev-d0692ad9-6efa-4e1b-8aa2-272ebbc8cd21,Shelter,,2024-09-22T13:06:25.320Z,1.09468306189159E+020,2024-09-22T13:06:25.320Z,Adela,195,0195-III-Adela,Tommy Cassoes data,overview-photo/0195-III-Adela-overview-photo.jpg,III,Single iteration,"Secon along the north edge of den Permanente, in axis with 194, parallel with beach. Point captured on sandfilter.","{""type"":""Feature"",""properties"":{""timestamp"":1727010204479,""altitude"":46.89999771118164,""speed"":0,""heading"":0,""accuracy"":35.43000030517578,""altitude_accuracy"":2.0902860164642334},""geometry"":{""type"":""Point"",""coordinates"":[10.2304342,56.1772994]}}",56.1772994,10.2304342,35.4300003051758,Trees,Forest,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),NW,entryway-photo/0195-III-Adela-entryway-photo.jpg,"Good condition,  hidden under branches but clear", Square, Side,0.3,emergency-exit-photo/0195-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
0196-III-Adela,rec-35fda123-dbf4-437a-85e6-dce700b85c09,frev-5ac928d8-46c6-4d95-b7c5-a6b5bdde5097,Shelter,,2024-09-22T13:22:16.615Z,1.09468306189159E+020,2024-09-22T13:22:16.615Z,Adela,196,0196-III-Adela,Tommy Cassoes data,overview-photo/0196-III-Adela-overview-photo.jpg;overview-photo/0196-III-Adela-overview-photo_1.jpg,III,Single iteration,,"{""type"":""Feature"",""properties"":{""timestamp"":1727011324859,""altitude"":46.89999771118164,""speed"":0.07015986740589142,""heading"":0,""accuracy"":28.750999450683594,""altitude_accuracy"":2.0218563079833984},""geometry"":{""type"":""Point"",""coordinates"":[10.2303244,56.1773582]}}",56.1773582,10.2303244,28.7509994506836,Trees,Forest,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SE,entryway-photo/0196-III-Adela-entryway-photo.jpg,, Square, Side,0.3,emergency-exit-photo/0196-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
