"","CodeOriginal","Code","CDpriority","Purpose"
"1","110 - Stuehus til landbrugsejendom","110","N","residential"
"2","120 - Fritliggende enfamiliehus","120","N","residential"
"3","121 - Sammenbygget enfamiliehus","121","N","residential"
"4","122 - Fritliggende enfamiliehus i tæt-lav bebyggelse","122","N","residential"
"5","130 - (UDFASES) Række-, kæde-, eller dobbelthus (lodret adskillelse mellem enhederne).","130","Y","residential"
"6","131 - Række-, kæde- og klyngehus","131","Y","residential"
"7","132 - Dobbelthus","132","Y","residential"
"8","140 - Etagebolig-bygning, flerfamiliehus eller to-familiehus","140","Y","residential"
"9","150 - Kollegium","150","Y","residential"
"10","160 - Boligbygning til døgninstitution","160","Y","residential"
"11","185 - Anneks i tilknytning til helårsbolig.","185","N","residential"
"12","190 - Anden bygning til helårsbeboelse","190","Y","residential"
"13","210 - (UDFASES) Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign","210","M","industry or production"
"14","211 - Stald til svin","211","N","industry or production"
"15","212 - Stald til kvæg, får mv.","212","N","industry or production"
"16","213 - Stald til fjerkræ","213","N","industry or production"
"17","214 - Minkhal","214","N","industry or production"
"18","215 - Væksthus","215","N","industry or production"
"19","216 - Lade til foder, afgrøder mv.","216","N","industry or production"
"20","217 - Maskinhus, garage mv.","217","N","industry or production"
"21","218 - Lade til halm, hø mv.","218","N","industry or production"
"22","219 - Anden bygning til landbrug mv.","219","N","industry or production"
"23","220 - (UDFASES) Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o.lign.)","220","Y","industry or production"
"24","221 - Bygning til industri med integreret produktionsapparat","221","Y","industry or production"
"25","222 - Bygning til industri uden integreret produktionsapparat","222","Y","industry or production"
"26","223 - Værksted","223","Y","industry or production"
"27","229 - Anden bygning til produktion","229","M","industry or production"
"28","230 - (UDFASES) El-, gas-, vand- eller varmeværk, forbrændingsanstalt m.v.","230","N","industry or production"
"29","231 - Bygning til energiproduktion","231","M","industry or production"
"30","232 - Bygning til energidistribution","232","M","industry or production"
"31","233 - Bygning til vandforsyning","233","M","industry or production"
"32","234 - Bygning til håndtering af affald og spildevand","234","M","industry or production"
"33","239 - Anden bygning til energiproduktion og forsyning","239","M","industry or production"
"34","290 - (UDFASES) Anden bygning til landbrug, industri etc.","290","M","industry or production"
"35","310 - (UDFASES) Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus). Garage med plads til et eller to køretøjer registreres med anvendelseskode 910","310","Y","transport"
"36","311 - Bygning til jernbane- og busdrift","311","Y","transport"
"37","312 - Bygning til luftfart","312","Y","transport"
"38","313 - Bygning til parkering- og transportanlæg","313","Y","transport"
"39","314 - Bygning til parkering af flere end to køretøjer i tilknytning til boliger","314","Y","transport"
"40","315 - Havneanlæg","315","M","transport"
"41","319 - Andet transportanlæg","319","M","transport"
"42","320 - (UDFASES) Bygning til kontor, handel, lager, herunder offentlig administration","320","Y","office"
"43","321 - Bygning til kontor","321","Y","office"
"44","322 - Bygning til detailhandel","322","Y","office"
"45","323 - Bygning til lager","323","M","office"
"46","324 - Butikscenter","324","Y","office"
"47","325 - Tankstation","325","M","transport"
"48","329 - Anden bygning til kontor, handel og lager","329","M","office"
"49","330 - (UDFASES) Bygning til hotel, restaurant, vaskeri, frisør og anden servicevirksomhed","330","Y","services"
"50","331 - Hotel, kro eller konferencecenter med overnatning","331","Y","services"
"51","332 - Bed & breakfast mv.","332","Y","services"
"52","333 - Restaurant, café og konferencecenter uden overnatning","333","Y","services"
"53","334 - Privat servicevirksomhed som frisør, vaskeri, netcafé mv.","334","Y","services"
"54","339 - Anden bygning til serviceerhverv","339","Y","services"
"55","390 - (UDFASES) Anden bygning til transport, handel etc","390","M","services"
