FeatureID,FeatureType,Bdnr,BDtype,Status_i_dag,LanduseOnTop,longitude,latitude
200,Shelter Type II,NA,NA,NA,Shrubs,10.207442433333334,56.14344081666667
201,Other,284,III,NA,Shrubs,10.207552548068271,56.14364712630468
202,Other,300,III,Findes,Shrubs,10.207556042657778,56.14374704313749
203,Other,NA,NA,NA,Shrubs,10.207612682714016,56.143845954130704
204,Other,NA,NA,NA,Shrubs,10.207398993260336,56.14397180015376
205,Other,NA,NA,NA,Shrubs,10.207324881053337,56.14398107225458
206,Other,NA,NA,NA,Shrubs,10.20727037388368,56.144083658055415
207,Shelter Type III,305,III,NA,Grass,10.204309661388685,56.14091887498927
208,Shelter Type III,456,III,Findes,Grass,10.205352865361917,56.13990718079035
209,Shelter Type III,455,III,NA,Grass,10.205550418080902,56.13970771599126
210,Shelter Type III,142,III A,NA,Trees,10.205172766297157,56.1383547473629
211,Shelter Type III,216,III A,NA,Trees,10.205125750392927,56.13827036115713
212,Shelter Type III,383,III,NA,Trees,10.201804923580282,56.13627154104743
213,Shelter Type III,382,III,NA,Trees,10.201624627953183,56.136394254954496
214,Shelter Type III,414,III A,NA,Shrubs,10.19781432374682,56.13312011752011
NA,NA,NA,NA,NA,NA,10.197743069536664,56.13317362620678
215,Shelter Type III,387,III,NA,Trees,10.19497391427086,56.13618129337341
216,Shelter Type III,386,III,NA,Trees,10.194996132444674,56.13621508193549
217,Shelter Type III,1504,III,NA,Trees,10.194719032842762,56.13625212813375
218,Shelter Type III,388,III,NA,Trees,10.194557205093346,56.13616929948073
219,Shelter Type III,389,III,NA,Trees,10.194280586334797,56.13625164386577
220,Shelter Type III,292,III,NA,Trees,10.209440179447729,56.14549269365404
221,Other,NA,NA,NA,Structure,10.175514957767252,56.14041566741725
222,Other,NA,NA,NA,Shrubs,10.176307992089251,56.140584710255986
223,Shelter Type III,319,III,Findes,Grass,10.18407241602925,56.13950341769264
224,Shelter Type III,321,III,Findes,Grass,10.184624384683378,56.13949092718062
