FeatureID,Type,BDType,longitude,latitude
201,Other,III,10.207552548068271,56.14364712630468
202,Other,III,10.207556042657778,56.14374704313749
230,VI,IV,10.195226520863413,56.14057183101715
245,III,IV,10.2136583,56.127255383333335
132,Other,III,10.175783166666667,56.162991
133,IV,III,10.1678914,56.165391166666666
136,III,IV,10.165859533333334,56.15388456666667
252,V,III,10.2072688,56.14496225
261,I,IV,10.197119283333333,56.14881896666667
274,Other,III,10.1981963,56.179861116666665
277,Other,III,10.201859666666667,56.176383533333336
165,IV,III,10.203285516666666,56.160779483333336
173,VI,VI B,10.201459283333334,56.15008676666667
174,VI,III,10.201229633333334,56.14988006666667
186,IV,III,10.207901383333333,56.18320778333333
